Theta,N,DoFs,Total DoFs,Error Estimate,Cost
0.39,177,2152,10523,0.0006576036164049172,-4.2425059685950925
0.4,177,2112,10407,0.0007160788329518329,-4.374252386942612
0.41,177,2087,10016,0.0007961005784361032,-4.093564198000259
0.42,177,2087,10016,0.0007961005784361032,-4.093564198000259
0.43,186,2336,12197,0.0005247422085039127,-4.714258571926404
0.44,186,2204,11263,0.000534069150962744,-4.507536816767286
0.45,186,2222,11281,0.0005272947913270605,-4.548626621661247
0.46,186,2037,11366,0.0005236190369622411,-4.754350543516523
0.47,186,2146,11294,0.0007691398568885417,-4.178758010010181
0.48,186,2132,11228,0.0008576682649938572,-4.163481753799779
0.49,186,2114,11116,0.0008577473035387101,-4.163382107539954
0.5,186,2114,11092,0.0008577473035387101,-4.163382107539955
0.51,186,2108,11125,0.0008602802817128356,-4.178758010010181
0.52,186,2178,11375,0.0007144037390385094,-4.319971124115894
0.53,174,1649,10084,0.0013138647635494718,-4.036300843303192
0.54,174,1706,11266,0.0012194665383858773,-4.201705323817622
0.55,174,1706,11236,0.0012194665383858773,-4.201705323817622
0.56,174,1687,11217,0.0012194665383858773,-4.201705323817622
0.57,186,2081,10777,0.0007640067454930815,-4.283202890075513
0.58,186,2077,10799,0.0007509784744973534,-4.290711205786558
0.59,186,2048,10700,0.0007509784744973534,-4.291611073663156
0.6,186,2048,10700,0.0007509784744973534,-4.291611073663156
0.61,186,2115,10601,0.0006734904736812524,-4.290192962383549
0.62,186,2115,10601,0.0006734904736812524,-4.290192962383549
0.63,186,2002,10374,0.0008261380966293804,-4.385325695105016
0.64,186,2002,10374,0.0008261380966293804,-4.385325695105016
0.65,186,1919,11172,0.0005433284195997531,-4.681895428958816
0.66,186,2119,11341,0.0006371227871185104,-4.5407266412033
0.67,186,2103,11281,0.0006374782258906247,-4.54056375707941
0.68,177,1885,11172,0.0009152535123075279,-4.3701030491416235
0.69,177,1867,11099,0.0009614820573526251,-4.3675513959248615
0.7,174,1695,11034,0.0015603920031059257,-3.973933887905118
0.71,174,1695,11015,0.0015603920031059257,-3.973933887905119
0.72,168,1443,10464,0.0015304587888567438,-3.9895690434497144
0.73,168,1393,10974,0.001600398976593431,-4.125921397554834
0.74,168,1393,10868,0.001600398976593431,-4.125921397554834
0.75,168,1393,10883,0.0017867835862694125,-4.119508964664356
0.76,168,1347,10740,0.0014956411977163483,-3.782642556347279
0.77,174,1439,11398,0.001282742624268151,-4.09980844923378
0.78,168,1362,10962,0.0016499639127724164,-3.851203620340039
0.79,165,1238,10348,0.0019488155257169663,-3.5581628882084644
0.8,165,1238,10348,0.0019488155257169663,-3.5581628882084644
0.81,165,1205,10938,0.001845130592816927,-3.643861645378939
0.82,165,1150,10526,0.001791216261591101,-3.6914177239959
0.83,165,1290,10861,0.001969491774015971,-3.6425899972137725
0.84,165,1258,10829,0.001969491774015971,-3.6425899972137725
0.85,165,1160,10739,0.0019136743321070007,-3.6592831076755976
0.86,165,1160,10237,0.002012576430026923,-3.6449511882571803
0.87,159,1166,10871,0.0020134492206172203,-3.602995698933734
0.88,159,1085,10613,0.002371940875942811,-3.593260256340972
0.89,150,857,10101,0.0030761806524414177,-3.203504450162072
0.9,150,869,10331,0.003038011650986155,-3.3307621562894907
0.91,150,873,10501,0.0029184184842491463,-3.3658069660586296
0.92,150,873,10672,0.0029184184842491463,-3.3658069660586296
0.93,147,804,10468,0.003379420030163147,-3.251987362638946
0.94,150,802,10286,0.003181980112265198,-3.3072964522690738
0.95,147,786,10207,0.003808740611283786,-3.0224067295426926
0.96,147,808,10368,0.004124238727554139,-2.9623333577104853
0.97,147,760,10185,0.004024915063993109,-2.980924394445519
0.98,147,760,10471,0.004024915063993109,-2.980924394445519
0.99,138,675,10076,0.005197816629037186,-2.745799868686873
