Cost
-5.852927617259779
-5.8843719163764465
-5.656082223369591
-5.9148263394506975
-6.057089151318883
-5.579588360714462
-5.762928350660365
-6.093628501062523
-5.466311698357197
-5.822506860837757
-5.706411284482256
