theta,rho,N,DoFs,Total_DoFs,Error_Estimate,Cost
0.6,0.5,255,3225,13116,0.0007570563085097109,-4.787960750747736
0.6,0.6,270,2937,12566,0.0008233336229590913,-4.704036892457302
0.6,0.7,453,2850,11538,0.001626278413899247,-4.023348883472817
0.6,0.8,1053,3456,10750,0.005019867237240145,-2.8962396196121873
0.6,0.9,2031,5041,14782,0.00557106475669525,-2.7920569113393414
0.7,0.0,123,4924,14836,0.005641677255209874,-2.77946169922607
0.7,0.1,159,2422,11950,0.0009175956996692312,-4.595641505877372
0.7,0.2,159,2157,10388,0.0010523750570535927,-4.4585935373113745
0.7,0.3,168,2301,11073,0.0008359026373723219,-4.688886241354206
0.7,0.4,177,2307,11944,0.0005359904789392813,-5.133281987443276
0.7,0.5,192,2179,12116,0.0009320795552452846,-4.5799802144354285
0.7,0.6,228,2486,11009,0.0009158453244214667,-4.597550894569513
0.7,0.7,591,2566,11864,0.0016578409256277635,-4.004126997620659
0.7,0.8,828,3145,11473,0.0035120407786860446,-3.2534458192525526
0.7,0.9,1086,3161,12170,0.005782561811897408,-2.7547963016584447
0.8,0.0,123,4924,14836,0.005641677255209874,-2.77946169922607
0.8,0.1,159,2396,11764,0.0009200440120627568,-4.592976877085851
0.8,0.2,159,2161,10113,0.0010767411387956082,-4.435704090866805
0.8,0.3,168,2189,10754,0.000853909262392073,-4.667573447166082
0.8,0.4,198,2508,11587,0.0008531086768558293,-4.668511440348855
0.8,0.5,177,2112,10407,0.0007160788329518329,-4.843608122395416
0.8,0.6,261,2255,10777,0.001202181117085724,-4.325505601667416
0.8,0.7,237,2089,11490,0.002669309617165836,-3.527823237573985
0.8,0.8,240,1696,10559,0.004322345497616156,-3.0458449120203674
0.8,0.9,582,1742,10570,0.009248474348694913,-2.2851845035564025
0.9,0.0,93,4828,14654,0.03963890489099113,-0.8298320234835037
0.9,0.1,120,1823,11078,0.014235047409450086,-1.8539360549920105
0.9,0.2,123,2057,11344,0.009308342935086941,-2.278732018392248
0.9,0.3,123,2033,10118,0.012659181910254298,-1.9712603116162315
0.9,0.4,129,2377,11892,0.012574175794397797,-1.9779979355524795
0.9,0.5,129,2292,11454,0.013385249409315646,-1.915489795908593
0.9,0.6,129,2169,10810,0.01973056723767399,-1.5274740365711228
0.9,0.7,135,2118,10141,0.017055707412341418,-1.6731582128945999
0.9,0.8,162,2138,11438,0.019914303474360445,-1.5182048651046323
0.9,0.9,240,1384,10087,0.01666590608189702,-1.6962780255686465
