theta,rho,N,DoFs,Total_DoFs,Error_Estimate,Cost
0.8,0.1,129,2462,12378,0.0009207258278661195,-6.3702896196048595
0.8,0.2,138,2414,12328,0.0007135508092526537,-6.625198276260867
0.8,0.3,138,1975,10484,0.0009551774299241944,-6.333554808208133
0.8,0.4,153,1852,10924,0.001967717678764071,-5.610822310519635
0.8,0.5,153,1884,10153,0.0011480738672230526,-6.149611002848024
0.8,0.6,216,2096,10213,0.0024570768539838236,-5.388724270293806
0.8,0.7,252,1826,10976,0.002217990099596677,-5.49109521769059
0.8,0.8,264,1934,11547,0.012825404538891826,-3.7362687093934683
0.8,0.9,975,2966,11837,0.025651747413737585,-3.0430849483580773
0.9,0.0,63,3327,10678,0.03938227680743036,-2.614380755067654
0.9,0.1,90,1815,11140,0.014124793232586816,-3.639765004421918
0.9,0.2,93,2003,11916,0.009468983432097035,-4.039675087645845
0.9,0.3,93,1938,11441,0.010780200708929915,-3.9099854589996816
0.9,0.4,99,1938,11449,0.01084236989613148,-3.9042350457254527
0.9,0.5,99,2139,11462,0.02709189191768304,-2.9884621510567255
0.9,0.6,99,2267,12114,0.024871283178020898,-3.0739827910450273
0.9,0.7,135,2204,11117,0.0371754868240864,-2.672047055216165
0.9,0.8,141,1879,11810,0.015062560971575255,-3.575484383798255
0.9,0.9,192,1058,10148,0.016880001628732835,-3.461567057289629
